user	build	chip	chip_version	inferred_sex	source
1142	37	OmniExpress plus	v3	Female	23andMe
11643	37	HTS iSelect HD	v4	Male	23andMe
1432	37	OmniExpress plus	v3	Male	23andMe
1125	37	OmniExpress plus	v3	Male	23andMe
11584	37			Female	AncestryDNA
1393	37	OmniExpress	v1	Female	AncestryDNA
1305	37	OmniExpress plus	v3	Male	23andMe
1462	37	OmniExpress plus	v3	Female	23andMe
1446	37	OmniExpress plus	v3	Male	23andMe
1171	37	OmniExpress plus	v3	Female	23andMe, 23andMe
1450	37	OmniExpress	v1	Female	AncestryDNA
11125	37	OmniExpress		Female	MyHeritage
1378	37	HTS iSelect HD	v4	Female	23andMe
1258	37	OmniExpress plus	v3	Male	23andMe
11822	37	Illumina GSAs	v5	Male	23andMe
11432	37			Male	FTDNA
144	37	OmniExpress plus	v3	Male	23andMe
1375	37	OmniExpress plus	v3	Female	23andMe
11425	37	Illumina GSAs	v5	Female	23andMe
1190	37	OmniExpress plus	v3	Female	23andMe
1121	37	OmniExpress plus	v3	Female	23andMe, AncestryDNA
1214	37	OmniExpress plus	v3	Male	23andMe
1466	37	OmniExpress plus	v3	Male	23andMe
11525	37			Male	MyHeritage
1392	37	OmniExpress plus	v3	Female	23andMe
1172	37	OmniExpress plus	v3	Female	23andMe
1233	37	OmniExpress plus	v3	Female	23andMe
146	37	OmniExpress plus	v3	Male	23andMe
11128	37	Illumina GSAs	v5	Female	23andMe
1412	37	OmniExpress plus	v3	Female	23andMe
11143	37			Female	FTDNA
123	37	OmniExpress plus	v3	Male	23andMe
1163	37	OmniExpress plus	v3	Male	23andMe
1281	37	OmniExpress plus	v3	Male	23andMe
11528	37			Male	AncestryDNA
1445	37	OmniExpress plus	v3	Female	23andMe
11397	37			Female	AncestryDNA
11557	37			Female	AncestryDNA
1147	37	OmniExpress plus	v3	Male	23andMe, AncestryDNA
1215	37	OmniExpress plus	v3	Female	23andMe
1114	37	OmniExpress plus	v3	Male	23andMe
1452	37				23andMe
124	37	OmniExpress plus	v3	Female	23andMe
11802	37	Illumina GSAs	v5	Male	23andMe
11700	37			Male	AncestryDNA
1414	37	OmniExpress plus	v3	Male	23andMe
1401	37	OmniExpress plus	v3	Male	23andMe
11509	37	Illumina GSAs	v5	Male	23andMe
11360	37			Female	AncestryDNA
11396	37			Female	AncestryDNA
11744	37				vcf
1312	37	OmniExpress plus	v3	Male	23andMe
11785	37			Male	AncestryDNA
1196	37	OmniExpress plus	v3	Male	23andMe
1382	37	OmniExpress plus	v3	Female	23andMe
1491	37	OmniExpress			FTDNA
1239	37				FTDNA
1269	37	OmniExpress plus	v3	Female	23andMe
1494	37	OmniExpress plus	v3	Male	23andMe
11499	37			Female	AncestryDNA
11529	37	Illumina GSAs	v5	Female	23andMe
1173	37	OmniExpress plus	v3	Female	23andMe
user	build	chip	chip_version	inferred_sex	source
1715	37	OmniExpress	v1	Female	AncestryDNA
1707	37	HTS iSelect HD	v4	Male	23andMe
1718	37	HTS iSelect HD	v4	Male	23andMe
2022	37	OmniExpress plus	v3	Female	23andMe
1975	37	HTS iSelect HD	v4	Male	23andMe
1682	37	HTS iSelect HD	v4	Male	23andMe
1877	37	OmniExpress plus	v3	Male	23andMe
1851	37	OmniExpress plus	v3	Male	23andMe
1802	37	HTS iSelect HD	v4	Male	23andMe
1902	37	HTS iSelect HD	v4	Male	23andMe
1772	37	OmniExpress	v1	Male	AncestryDNA
1503	37	HTS iSelect HD	v4	Female	23andMe
1525	37	HTS iSelect HD	v4	Male	23andMe
1674	37	OmniExpress	v1	Male	AncestryDNA
1664	37	OmniExpress plus	v3	Female	23andMe
1952	37	HTS iSelect HD	v4	Male	23andMe, 23andMe
1699	37	HTS iSelect HD	v4	Female	23andMe
1788	37	HTS iSelect HD	v4	Male	23andMe
1827	37	HTS iSelect HD	v4	Male	23andMe
202	37	OmniExpress plus	v3	Male	23andMe
1531	37	HTS iSelect HD	v4	Female	23andMe
1853	37	HTS iSelect HD	v4	Male	23andMe
1523	37	OmniExpress plus	v3	Male	23andMe
1759	37	HTS iSelect HD	v4	Female	23andMe
1904	37	HTS iSelect HD	v4	Male	23andMe
1964	37	OmniExpress		Male	23andMe, 23andMe
1561	37	OmniExpress			FTDNA
1568	37	HTS iSelect HD	v4	Female	23andMe
1720	37	HTS iSelect HD	v4	Male	23andMe
1615	37	HTS iSelect HD	v4	Male	23andMe
1731	37	OmniExpress	v1	Female	AncestryDNA
189	37	OmniExpress plus	v3	Female	23andMe
1889	37	HTS iSelect HD	v4	Male	23andMe
1992	37	OmniExpress plus	v3	Female	23andMe
1623	37	HTS iSelect HD	v4	Male	23andMe
1626	37	HTS iSelect HD	v4	Female	23andMe
1901	37	OmniExpress plus	v3	Male	23andMe
1764	37	OmniExpress plus	v3	Male	23andMe
1814	37	HTS iSelect HD	v4	Male	23andMe
1875	37	OmniExpress plus	v3	Female	23andMe
1876	37	OmniExpress plus	v3	Female	23andMe
2006	37	HTS iSelect HD	v4	Female	23andMe
1668	37	HTS iSelect HD	v4	Male	23andMe
1785	37	HTS iSelect HD	v4	Female	23andMe
1778	37	OmniExpress plus	v3	Male	23andMe
1647	37	OmniExpress	v1	Female	AncestryDNA
1903	37	HTS iSelect HD	v4	Female	23andMe
1996	37	OmniExpress plus	v3	Female	23andMe
1564	37	HTS iSelect HD	v4	Female	23andMe, 23andMe
1675	37	HTS iSelect HD	v4	Female	23andMe
160	37	OmniExpress plus	v3	Female	23andMe
175	37	OmniExpress plus	v3	Male	23andMe
1858	37	HTS iSelect HD	v4	Female	23andMe
200	37	OmniExpress plus	v3	Male	23andMe
1627	37	HTS iSelect HD	v4	Male	23andMe
1705	37	HTS iSelect HD	v4	Female	23andMe
1775	37	HTS iSelect HD	v4	Female	23andMe
1822	37	HTS iSelect HD	v4	Female	23andMe
1841	37	OmniExpress plus	v3	Male	23andMe
1980	37	OmniExpress plus	v3	Male	23andMe
1811	37	HTS iSelect HD	v4	Male	23andMe
1641	37	HTS iSelect HD	v4	Male	23andMe
1507	37	OmniExpress plus	v3	Male	23andMe
1514	37	HTS iSelect HD	v4	Male	23andMe
1625	37	OmniExpress	v1	Female	AncestryDNA
1808	37	HTS iSelect HD	v4	Male	23andMe
1599	37	OmniExpress			FTDNA
1712	37	OmniExpress plus	v3	Female	23andMe
1738	37				23andMe
2009	37	HTS iSelect HD	v4	Female	23andMe
1593	37	HTS iSelect HD	v4	Male	23andMe
1984	37	OmniExpress plus	v3	Female	23andMe
1678	37	OmniExpress plus	v3	Female	23andMe
1780	37	HTS iSelect HD	v4	Female	23andMe
1727	37	OmniExpress plus	v3	Male	23andMe
1743	37	OmniExpress plus	v3	Female	23andMe
1813	37	HTS iSelect HD	v4	Male	23andMe
1885	37	Illumina GSAs	v5	Male	23andMe
1871	37			Female	FTDNA
1588	37	HTS iSelect HD	v4	Male	23andMe
159	37	OmniExpress plus	v3	Female	23andMe
2008	37	HTS iSelect HD	v4	Female	23andMe
1987	37	OmniExpress plus	v3	Male	23andMe, FTDNA, FTDNA
1515	37	OmniExpress plus	v3	Male	23andMe
2000	37	HTS iSelect HD	v4	Female	23andMe
1566	37	OmniExpress plus	v3	Male	23andMe
1777	37	HTS iSelect HD	v4	Male	23andMe, 23andMe
1610	37	HTS iSelect HD	v4	Female	23andMe
1658	37	HTS iSelect HD	v4	Male	23andMe
1970	37	HTS iSelect HD	v4	Female	23andMe
1578	37	HTS iSelect HD	v4	Male	23andMe
1582	37	HTS iSelect HD	v4	Male	23andMe
1565	37	HTS iSelect HD	v4	Female	23andMe
1659	37	OmniExpress plus	v3	Male	23andMe
1742	37	OmniExpress plus	v3	Female	23andMe
1993	37	HTS iSelect HD	v4	Male	23andMe
